DATE,y
1/1/2000,1.476666667
4/1/2000,1.453333333
7/1/2000,1.673333333
10/1/2000,1.88
1/1/2001,1.61
4/1/2001,2.223333333
7/1/2001,1.85
10/1/2001,1.64
1/1/2002,1.963333333
4/1/2002,1.643333333
7/1/2002,1.64
10/1/2002,1.793333333
1/1/2003,1.826666667
4/1/2003,1.586666667
7/1/2003,1.646666667
10/1/2003,1.676666667
1/1/2004,1.4
4/1/2004,1.883333333
7/1/2004,1.863333333
10/1/2004,1.913333333
1/1/2005,1.696666667
4/1/2005,1.693333333
7/1/2005,1.92
10/1/2005,1.963333333
1/1/2006,1.96
4/1/2006,2.103333333
7/1/2006,1.863333333
10/1/2006,1.546666667
1/1/2007,1.623333333
4/1/2007,1.66
7/1/2007,1.66
10/1/2007,2.55
1/1/2008,2.983333333
4/1/2008,3.276666667
7/1/2008,3.46
10/1/2008,2.11
1/1/2009,0.916666667
4/1/2009,0.183333333
7/1/2009,-0.33
10/1/2009,0.386666667
1/1/2010,1
4/1/2010,1.463333333
7/1/2010,1.573333333
10/1/2010,1.87
1/1/2011,2.283333333
4/1/2011,2.58
7/1/2011,2.526666667
10/1/2011,2.763333333
1/1/2012,2.543333333
4/1/2012,2.353333333
7/1/2012,2.436666667
10/1/2012,2.226666667
1/1/2013,1.8
4/1/2013,1.38
7/1/2013,1.31
10/1/2013,0.8
1/1/2014,0.633333333
4/1/2014,0.556666667
7/1/2014,0.35
10/1/2014,0.163333333
1/1/2015,-0.32
4/1/2015,0.436666667
7/1/2015,0.393333333
10/1/2015,0.256666667
1/1/2016,0.053333333
4/1/2016,-0.11
7/1/2016,0.263333333
10/1/2016,0.733333333
1/1/2017,1.72
4/1/2017,1.533333333
7/1/2017,1.486666667
10/1/2017,1.426666667
1/1/2018,1.28
4/1/2018,1.75
7/1/2018,2.16
10/1/2018,1.953333333
1/1/2019,1.456666667
4/1/2019,1.456666667
7/1/2019,0.993333333
10/1/2019,1.046666667
1/1/2020,1.146666667
4/1/2020,0.233333333
7/1/2020,-0.033333333
10/1/2020,-0.29
1/1/2021,1.11
4/1/2021,1.936666667
7/1/2021,2.97
10/1/2021,4.86
1/1/2022,6.503333333
4/1/2022,8.643333333
7/1/2022,10.06
10/1/2022,10.94
1/1/2023,8.983333333
4/1/2023,7.17
7/1/2023,5.823333333
10/1/2023,3.283333333
1/1/2024,3.123333333
4/1/2024,3.046666667
