DATE,y
9/30/1999,0.029
12/31/1999,0.04
3/31/2000,0.042
6/30/2000,0.046
9/30/2000,0.039
12/31/2000,0.034
3/31/2001,0.032
6/30/2001,0.023
9/30/2001,0.019
12/31/2001,0.012
3/31/2002,0.004
6/30/2002,0.008
9/30/2002,0.011
12/31/2002,0.013
3/31/2003,0.009
6/30/2003,0.004
9/30/2003,0.006
12/31/2003,0.011
3/31/2004,0.019
6/30/2004,0.024
9/30/2004,0.02
12/31/2004,0.018
3/31/2005,0.015
6/30/2005,0.015
9/30/2005,0.021
12/31/2005,0.023
3/31/2006,0.029
6/30/2006,0.035
9/30/2006,0.033
12/31/2006,0.038
3/31/2007,0.036
6/30/2007,0.032
9/30/2007,0.03
12/31/2007,0.023
3/31/2008,0.023
6/30/2008,0.011
9/30/2008,0.002
12/31/2008,-0.021
3/31/2009,-0.057
6/30/2009,-0.054
9/30/2009,-0.045
12/31/2009,-0.023
3/31/2010,0.012
6/30/2010,0.023
9/30/2010,0.023
12/31/2010,0.024
3/31/2011,0.03
6/30/2011,0.02
9/30/2011,0.017
12/31/2011,0.007
3/31/2012,-0.005
6/30/2012,-0.008
9/30/2012,-0.01
12/31/2012,-0.01
3/31/2013,-0.012
6/30/2013,-0.002
9/30/2013,0.002
12/31/2013,0.009
3/31/2014,0.017
6/30/2014,0.012
9/30/2014,0.014
12/31/2014,0.014
3/31/2015,0.017
6/30/2015,0.02
9/30/2015,0.019
12/31/2015,0.02
3/31/2016,0.019
6/30/2016,0.017
9/30/2016,0.017
12/31/2016,0.019
3/31/2017,0.022
6/30/2017,0.027
9/30/2017,0.03
12/31/2017,0.031
3/31/2018,0.023
6/30/2018,0.02
9/30/2018,0.013
12/31/2018,0.012
3/31/2019,0.019
6/30/2019,0.017
9/30/2019,0.019
12/31/2019,0.012
3/31/2020,-0.029
6/30/2020,-0.139
9/30/2020,-0.04
12/31/2020,-0.039
3/31/2021,-0.002
6/30/2021,0.149
9/30/2021,0.049
12/31/2021,0.054
3/31/2022,0.056
6/30/2022,0.041
9/30/2022,0.025
12/31/2022,0.019
3/31/2023,0.013
6/30/2023,0.005
9/30/2023,0.001
12/31/2023,0.002
3/31/2024,0.004
