TARGET_PERIOD,FCT_SOURCE,10,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility
1999Q3,1,2.2,,,,,30,50,20,,,,2.6315789473684212
1999Q3,2,2.3,,,,,45,55,,,,,1.9801980198019802
1999Q3,3,1.8,,,,10,70,20,,,,,1.8518518518518519
1999Q3,4,2.5,,,,,10,70,20,,,,1.8518518518518519
1999Q3,5,2,,,5,15,50,25,5,,,,2.9411764705882355
1999Q3,6,2.4,,,,,10,60,30,,,,2.1739130434782608
1999Q3,7,1.6,,,,,,,,,,,1
1999Q3,9,1.7,,,,20,80,,,,,,1.4705882352941178
1999Q3,10,1.6,,,,10,50,40,,,,,2.380952380952381
1999Q3,11,2,,,,,30,70,,,,,1.7241379310344827
1999Q3,14,2.3,,,,,10,90,,,,,1.2195121951219512
1999Q3,16,2,,,5,5,20,35,25,5,5,,4.25531914893617
1999Q3,17,2.3,,,5,5,15,40,20,10,5,,4.166666666666667
1999Q3,18,2,,5,10,15,20,25,15,10,,,5.882352941176471
1999Q3,19,1.3,,,,75,25,,,,,,1.6
1999Q3,20,1.9,,,,,50,50,,,,,2.0
1999Q3,23,1.9,,,,10,50,40,,,,,2.380952380952381
1999Q3,24,2.1,,,,10,10,60,20,,,,2.380952380952381
1999Q3,26,2,,5,5,15,20,30,15,5,5,,5.405405405405405
1999Q3,28,1.5,,,,20,70,10,,,,,1.8518518518518519
1999Q3,29,2,,,,10,70,20,,,,,1.8518518518518519
1999Q3,31,2.2,,,,,,,,,,,1
1999Q3,32,2.2,,,,10,25,40,20,5,,,3.6363636363636362
1999Q3,33,2,,,,,10,80,10,,,,1.5151515151515151
1999Q3,34,2.3,,,,,10,60,30,,,,2.1739130434782608
1999Q3,35,2,,,5,20,25,30,15,5,,,4.545454545454546
1999Q3,36,1.8,,,,,70,30,,,,,1.7241379310344827
1999Q3,37,2.5,,,,,20,80,,,,,1.4705882352941178
1999Q3,38,2,,,,,40,60,,,,,1.9230769230769231
1999Q3,39,2.4,,,,,20,30,50,,,,2.6315789473684212
1999Q3,40,2.3,,,5,5,25,50,15,,,,2.9411764705882355
1999Q3,43,2.4,1,1,3,4,16,45,21,6,3,,3.579098067287044
1999Q3,46,2.02,0,.5,.5,23.5,23.5,25,25,1,1,0,4.242681374628765
1999Q3,47,2,,,,10,40,40,10,,,,2.9411764705882355
1999Q3,50,1.9,,,,,75,25,,,,,1.6
1999Q3,52,2.5,,,,,10,70,20,,,,1.8518518518518519
1999Q3,53,2.9,,,,,90,10,,,,,1.2195121951219512
1999Q3,55,2,1.2,3.7,9.4,18.4,25.5,24.8,12.8,3.6,.3,.3,5.306954232826695
1999Q3,56,1.9,,,,,40,60,,,,,1.9230769230769231
1999Q3,59,2.2,,,,,10,80,10,,,,1.5151515151515151
1999Q3,60,2,,,,,40,50,10,,,,2.380952380952381
1999Q3,61,2,,,,,30,60,10,,,,2.1739130434782608
1999Q3,63,2.2,,,,,,,,,,,1
1999Q3,64,2.2,8,6,6,11,16,29,11,9,3,1,6.385696040868455
