TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility
1999Dec,1,1.2,,,10,80,10,,,,,1.5151515151515151
1999Dec,2,1.2,,10,30,50,10,,,,,2.7777777777777777
1999Dec,3,.8,,30,40,20,10,,,,,3.3333333333333335
1999Dec,4,1.3,,,,60,40,,,,,1.9230769230769231
1999Dec,5,1.1,,5,20,75,,,,,,1.6528925619834711
1999Dec,6,1.1,,,30,60,10,,,,,2.1739130434782608
1999Dec,7,.8,,,,,,,,,,1
1999Dec,9,.6,,10,90,,,,,,,1.2195121951219512
1999Dec,10,1.1,,10,25,40,25,,,,,3.389830508474576
1999Dec,11,1.5,,,,30,70,,,,,1.7241379310344827
1999Dec,14,1.3,,,10,80,10,,,,,1.5151515151515151
1999Dec,16,1.6,,,15,40,40,5,,,,2.898550724637681
1999Dec,17,1.5,,5,15,30,30,15,5,,,4.3478260869565215
1999Dec,18,1,5,15,35,35,10,,,,,3.5714285714285716
1999Dec,19,1,,,50,50,,,,,,2.0
1999Dec,20,.9,,10,80,10,,,,,,1.5151515151515151
1999Dec,23,1.4,,,5,40,40,15,,,,2.898550724637681
1999Dec,24,1.4,,10,10,40,30,10,,,,3.5714285714285716
1999Dec,26,1.4,,,10,60,30,,,,,2.1739130434782608
1999Dec,28,1.2,,,30,60,10,,,,,2.1739130434782608
1999Dec,29,1.1,,,30,50,20,,,,,2.6315789473684212
1999Dec,31,1.7,,,,,,,,,,1
1999Dec,32,1.2,,5.26315789,21.05263158,47.36842105,21.05263158,5.26315789,,,,3.1391304350391986
1999Dec,33,1.6,,,,10,80,10,,,,1.5151515151515151
1999Dec,34,1.5,,,,30,70,,,,,1.7241379310344827
1999Dec,35,1.8,,,,,,,,,,1
1999Dec,36,1.2,,,30,70,,,,,,1.7241379310344827
1999Dec,37,1.8,,,,10,70,20,,,,1.8518518518518519
1999Dec,38,1.2,,,30,70,,,,,,1.7241379310344827
1999Dec,39,1.3,,,15,45,40,,,,,2.5974025974025974
1999Dec,40,1.1,,5,30,50,15,,,,,2.73972602739726
1999Dec,43,.6,16,29,29,14,11,1,,,,4.4326241134751765
1999Dec,46,.71,,17,73,10,,,,,,1.7488632388947185
1999Dec,47,1,,20,30,30,20,,,,,3.8461538461538463
1999Dec,50,.4,,25,75,,,,,,,1.6
1999Dec,52,1,,10,30,60,,,,,,2.1739130434782608
1999Dec,53,1.4,,,10,80,10,,,,,1.5151515151515151
1999Dec,54,.8,,15,45,30,5,5,,,,3.125
1999Dec,55,1.1,3.5,11,22.9,26.6,20.1,10.8,3.9,1,.2,5.2572918638151105
1999Dec,56,.9,,,50,50,,,,,,2.0
1999Dec,59,1.4,,,,50,50,,,,,2.0
1999Dec,60,1.4,,,,70,30,,,,,1.7241379310344827
1999Dec,61,1.5,,,,40,50,10,,,,2.380952380952381
1999Dec,63,1.4,,,,,,,,,,1
1999Dec,64,1.1,4,4,20,33,21,10,5,2,1,4.780114722753345
1999Dec,65,.9,,,,50,50,,,,,2.0
1999Dec,67,.8,,,60,40,,,,,,1.9230769230769231
1999Dec,68,.5,10,40,40,10,,,,,,2.9411764705882355
1999Dec,70,1,,,10,70,20,,,,,1.8518518518518519
1999Dec,71,1.4,,10,20,40,25,5,,,,3.6363636363636362
1999Dec,72,1,15,15,20,25,15,8,2,,,5.656108597285068
1999Dec,76,1.3,,,,,,,,,,1
