TARGET_PERIOD,FCT_SOURCE,8,T9_0,F9_0T9_4,F9_5T9_9,F10_0T10_4,F10_5T10_9,F11_0T11_4,F11_5T11_9,F12_0,Volatility,
1999Nov,1,10.2,,,9.09090909,45.45454545,27.27272727,18.18181818,,,3.1025641031846156,
1999Nov,2,10,,,40,60,,,,,1.9230769230769231,
1999Nov,3,10.9,,,,10,50,30,10,,2.7777777777777777,
1999Nov,4,11,,,,,20,70,10,,1.8518518518518519,
1999Nov,5,9.9,,25,60,15,,,,,2.247191011235955,
1999Nov,6,10.6,,,,40,50,10,,,2.380952380952381,
1999Nov,7,10.8,,,,,,,,,1,
1999Nov,9,10.9,,,,,40,60,,,1.9230769230769231,
1999Nov,10,11.1,,,10,20,30,20,20,,4.545454545454546,
1999Nov,11,10.6,,,,,100,,,,1.0,
1999Nov,14,10.3,,,,60,40,,,,1.9230769230769231,
1999Nov,16,10.6,,,5,30,35,30,,,3.278688524590164,
1999Nov,17,10.3,,5,20,50,20,5,,,2.985074626865672,
1999Nov,18,11.1,,,5,20,30,35,10,,3.7735849056603774,
1999Nov,19,11.6,,,,,,75,25,,1.6,
1999Nov,20,10.4,,,,50,50,,,,2.0,
1999Nov,23,10.4,,,,50,40,10,,,2.380952380952381,
1999Nov,24,10.5,,,20,30,30,20,,,3.8461538461538463,
1999Nov,26,10.6,,,,25,60,15,,,2.247191011235955,
1999Nov,28,10.8,,,,15,70,15,,,1.8691588785046729,
1999Nov,29,11,,,,,50,50,,,2.0,
1999Nov,31,10.7,,,0,21.05263158,52.63157895,26.31578947,,,2.5602836878597355,
1999Nov,32,10.3,,,20,40,30,10,,,3.3333333333333335,
1999Nov,33,11,,,,,10,80,10,,1.5151515151515151,
1999Nov,36,10.6,,,,,10,70,20,,1.8518518518518519,
1999Nov,37,10.1,,,10,80,10,,,,1.5151515151515151,
1999Nov,38,10.8,,,,20,80,,,,1.4705882352941178,
1999Nov,39,10.2,,,20,60,15,5,,,2.3529411764705883,
1999Nov,40,10.5,,,5,30,40,25,,,3.1746031746031744,
1999Nov,43,10.4,,,15,35,35,15,,,3.4482758620689653,
1999Nov,46,10.78,,,,42.5,42.5,7.5,7.5,,2.684563758389262,
1999Nov,47,10.5,,,,40,50,10,,,2.380952380952381,
1999Nov,50,11.1,,,,,20,80,,,1.4705882352941178,
1999Nov,52,10.5,,,5,40,50,5,,,2.4096385542168677,
1999Nov,53,10.8,,,,,90,10,,,1.2195121951219512,
1999Nov,54,10.3,,,,60,40,,,,1.9230769230769231,
1999Nov,55,10.6,.7,4,14.1,28.2,31.3,17,4.2,.5,4.353277147036288,
1999Nov,56,10.5,,,,20,60,20,,,2.272727272727273,
1999Nov,59,10.4,,,10,80,10,,,,1.5151515151515151,
1999Nov,60,10.4,,10,40,40,10,,,,2.9411764705882355,
1999Nov,61,10.3,,,,50,40,10,,,2.380952380952381,
1999Nov,63,10.3,,,,,,,,,1,
1999Nov,64,10.3,1,4,9,19,25,19,10,13,5.834305717619603,
1999Nov,65,10.6,,,20,40,40,,,,2.7777777777777777,
1999Nov,67,10,,10,40,40,10,,,,2.9411764705882355,
1999Nov,68,10.8,,,,20,70,10,,,1.8518518518518519,
1999Nov,70,10.6,,,,30,40,30,,,2.9411764705882355,
1999Nov,71,11.7,,,,,,,,,1,
1999Nov,72,11.2,,,,,25,45,20,10,3.1746031746031744,
1999Nov,76,9.8,10,20,30,20,10,5,5,,5.128205128205129,
1999Nov,85,11,,,,,10,70,20,,1.8518518518518519,
1999Nov,86,10.6,,5,10,20,50,10,5,,3.1746031746031744,
1999Nov,87,10.6,,,,15,60,25,,,2.247191011235955,
1999Nov,88,10.7,,,,20,50,25,5,,2.816901408450704,
1999Nov,89,10.5,,,,25,50,25,,,2.6666666666666665,
1999Nov,90,10.7,,,,,95,5,,,1.1049723756906078,
1999Nov,91,10.4,,1.2012012,14.61461461,44.04404404,33.43343343,6.40640641,.3003003,,3.017652342016694,
1999Nov,92,10.6,,.82378943,7.29355033,26.50190878,38.29616235,22.05143661,5.0331525,,3.657082396748266,
1999Nov,94,11,,,,,50,50,,,2.0,
1999Nov,95,10.8,,10,10,31,31,8.5,8.5,1,4.410143329658213,
""
TARGET_PERIOD,FCT_SOURCE,8,T9_0,F9_0T9_4,F9_5T9_9,F10_0T10_4,F10_5T10_9,F11_0T11_4,F11_5T11_9,F12_0,Volatility,
2000Feb,1,10.2,0,0,9.0909090909,45.4545454545,27.2727272727,18.1818181818,0,0,3.1025641025703075,
2000Feb,2,10.4,2,5,16,35,30,10,2,0,3.977724741447892,
2000Feb,3,10.3,0,0,10,60,30,0,0,0,2.1739130434782608,
2000Feb,4,10.3,0,0,10,60,30,0,0,0,2.1739130434782608,
2000Feb,5,10.4,0,0,15,45,35,5,0,0,2.857142857142857,
2000Feb,7,10.6,,,,,,,,,1,
2000Feb,9,10.8,0,0,0,0,90,10,0,0,1.2195121951219512,
2000Feb,11,10.5,0,0,10,50,40,0,0,0,2.380952380952381,
2000Feb,14,10,0,0,40,60,0,0,0,0,1.9230769230769231,
2000Feb,16,10.1,0,5,20,35,30,10,0,0,3.7735849056603774,
2000Feb,17,9.9,5,10,40,30,10,5,0,0,3.6363636363636362,
2000Feb,19,10.5,0,0,0,50,50,0,0,0,2.0,
2000Feb,20,10.4,0,0,10,70,20,0,0,0,1.8518518518518519,
2000Feb,23,10.1,0,0,30,50,20,0,0,0,2.6315789473684212,
2000Feb,24,10.4,0,0,15,40,35,10,0,0,3.1746031746031744,
