"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"1",9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491,9.350491
"2",9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385,9.128385
"3",8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855,8.982855
"4",8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533,8.751533
"5",8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046,8.532046
"6",8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436,8.472436
"7",8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124,8.476124
"8",8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301,8.551301
"9",8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738,8.580738
"10",8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739,8.667739
