"","(LFSI.Q.I9.S.UNEHRT.TOTAL0.15_74.T)"
"1",9.350491
"2",9.128385
"3",8.982855
"4",8.751533
"5",8.532046
"6",8.472436
"7",8.476124
"8",8.551301
"9",8.580738
"10",8.667739
"11",8.814401
"12",8.949352
"13",9.125654
"14",9.196725
"15",9.192352
"16",9.236592
"17",9.405611
"18",9.396697
"19",9.38603
"20",9.406562
"21",9.289961
"22",9.328363
"23",9.197183
"24",9.10843
"25",8.900251
"26",8.611053
"27",8.375463
"28",8.150725
"29",7.902992
"30",7.650918
"31",7.581592
"32",7.448177
"33",7.376234
"34",7.519613
"35",7.672594
"36",8.115263
"37",9.042667
"38",9.60569
"39",9.889234
"40",10.127625
"41",10.261741
"42",10.337534
"43",10.240203
"44",10.221192
"45",10.117768
"46",10.080976
"47",10.352588
"48",10.701664
"49",11.042347
"50",11.396948
"51",11.622456
"52",11.961547
"53",12.222062
"54",12.203272
"55",12.129086
"56",12.049445
"57",11.998183
"58",11.723651
"59",11.6124
"60",11.584931
"61",11.337191
"62",11.133132
"63",10.77511
"64",10.632513
"65",10.419423
"66",10.237652
"67",9.984664
"68",9.821053
"69",9.548434
"70",9.23796
"71",9.016912
"72",8.76025
"73",8.598147
"74",8.335908
"75",8.055374
"76",7.943191
"77",7.794483
"78",7.638727
"79",7.475482
"80",7.457858
"81",7.331305
"82",7.707434
"83",8.548417
"84",8.248989
"85",8.241401
"86",8.092829
"87",7.548543
"88",7.129136
"89",6.856492
"90",6.759613
"91",6.698544
"92",6.685564
"93",6.606383
"94",6.50306
"95",6.561323
"96",6.538634
"97",6.517062
"98",6.455662
