DATE,y
9/30/1999,9.350491
12/31/1999,9.128385
3/31/2000,8.982855
6/30/2000,8.751533
9/30/2000,8.532046
12/31/2000,8.472436
3/31/2001,8.476124
6/30/2001,8.551301
9/30/2001,8.580738
12/31/2001,8.667739
3/31/2002,8.814401
6/30/2002,8.949352
9/30/2002,9.125654
12/31/2002,9.196725
3/31/2003,9.192352
6/30/2003,9.236592
9/30/2003,9.405611
12/31/2003,9.396697
3/31/2004,9.38603
6/30/2004,9.406562
9/30/2004,9.289961
12/31/2004,9.328363
3/31/2005,9.197183
6/30/2005,9.10843
9/30/2005,8.900251
12/31/2005,8.611053
3/31/2006,8.375463
6/30/2006,8.150725
9/30/2006,7.902992
12/31/2006,7.650918
3/31/2007,7.581592
6/30/2007,7.448177
9/30/2007,7.376234
12/31/2007,7.519613
3/31/2008,7.672594
6/30/2008,8.115263
9/30/2008,9.042667
12/31/2008,9.60569
3/31/2009,9.889234
6/30/2009,10.127625
9/30/2009,10.261741
12/31/2009,10.337534
3/31/2010,10.240203
6/30/2010,10.221192
9/30/2010,10.117768
12/31/2010,10.080976
3/31/2011,10.352588
6/30/2011,10.701664
9/30/2011,11.042347
12/31/2011,11.396948
3/31/2012,11.622456
6/30/2012,11.961547
9/30/2012,12.222062
12/31/2012,12.203272
3/31/2013,12.129086
6/30/2013,12.049445
9/30/2013,11.998183
12/31/2013,11.723651
3/31/2014,11.6124
6/30/2014,11.584931
9/30/2014,11.337191
12/31/2014,11.133132
3/31/2015,10.77511
6/30/2015,10.632513
9/30/2015,10.419423
12/31/2015,10.237652
3/31/2016,9.984664
6/30/2016,9.821053
9/30/2016,9.548434
12/31/2016,9.23796
3/31/2017,9.016912
6/30/2017,8.76025
9/30/2017,8.598147
12/31/2017,8.335908
3/31/2018,8.055374
6/30/2018,7.943191
9/30/2018,7.794483
12/31/2018,7.638727
3/31/2019,7.475482
6/30/2019,7.457858
9/30/2019,7.331305
12/31/2019,7.707434
3/31/2020,8.548417
6/30/2020,8.248989
9/30/2020,8.241401
12/31/2020,8.092829
3/31/2021,7.548543
6/30/2021,7.129136
9/30/2021,6.856492
12/31/2021,6.759613
3/31/2022,6.698544
6/30/2022,6.685564
9/30/2022,6.606383
12/31/2022,6.50306
3/31/2023,6.561323
6/30/2023,6.538634
9/30/2023,6.517062
12/31/2023,6.455662
