,x
0,0.004898222
1,0.003089202
2,-0.011874639
3,0.0087893
4,0.000160286
5,-0.001615625
6,-0.006541291
7,-6.81E-05
8,0.006891775
9,-0.001613909
10,0.000683423
11,0.005300485
12,0.000371485
13,-0.004202161
14,-0.020021144
15,-0.024814565
16,-0.012984989
17,-0.007142814
18,0.003189336
19,0.016558418
20,0.012623744
21,0.016529924
22,0.006578746
23,-0.006345077
24,-0.00411386
25,0.005051911
26,-0.004216359
27,0.005678591
28,0.005200419
29,0.006488857
30,-0.001263006
31,-0.00480701
32,-0.007754523
33,-0.011682161
34,-0.010902316
35,-0.020709428
36,0.020213407
37,-0.006776093
38,-0.009272814
39,-0.006643604
40,-0.002580025
41,-0.003384273
42,-0.009122148
43,-0.002596289
44,-0.00959119
45,-0.003166069
46,-0.007153585
47,0.018359884
48,-0.006122627
49,0.008273651
50,0.012580794
51,0.006146407
52,0.006061963
53,0.01478513
54,0.011785884
55,0.014384568
56,0.007730296
57,0.00447239
58,0.004935501
59,0.019658548
60,0.004513576
61,0.004762476
62,0.00597247
63,0.005319945
64,0.003635935
65,0.002780277
66,0.001196521
67,-0.002833964
68,-0.0004084
69,0.003335896
70,0.000487695
71,-0.000524373
72,0.002931858
73,0.001465451
74,-0.002204472
75,0.001698568
76,-0.00052261
77,-0.005029901
78,0.003220585
79,0.003702936
80,-0.003507028
81,0.003463243
82,0.009857788
83,0.005225209
84,-0.006886773
85,-0.007093065
86,0.001132889
87,0.001907709
88,-0.003893843
89,0.006200414
90,-0.001712634
91,0.002739894
92,0.004249997
93,0.003912357
94,0.009500975
95,-0.003862788
96,0.013239093
97,0.001343891
98,0.006515893
99,0.006230441
100,0.005334843
101,0.00675155
102,0.007463225
103,0.003918799
104,0.013354935
105,0.004925806
106,0.005468755
107,-0.000258634
108,0.005014847
109,0.002191874
110,0.005954724
111,-0.002026337
112,0.002901453
113,0.000155314
114,0.004991527
115,-0.0032357
116,0.004401309
117,0.002532988
118,0.004530689
119,0.002941539
120,-0.004451105
121,0.002568937
122,-0.000352999
123,-0.005525573
124,-2.27E-05
125,-0.009710499
126,0.009694287
127,-0.003333767
128,-0.001269523
129,0.003360719
130,0.005676293
131,-0.005236512
132,0.009043083
133,0.004755929
134,-0.002250833
135,0.002949883
136,0.003393914
137,-0.001665186
138,0.00361554
139,0.000214704
140,-0.006166813
141,-0.012555835
142,-0.006975298
143,-0.003338983
144,-0.007319937
145,-0.005645976
146,0.002568952
